term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),3.942612878033914,0.001988387623521095,1982.81905972248,0
destination16TH,0.19344708458646898,6.407200338564222e-4,301.92139212837253,0
destination19TH,-0.03506879869078941,6.768591522664944e-4,-51.81107261881576,0
destination24TH,0.15232621589767537,6.467671874055069e-4,235.51939378484676,0
destinationANTC,-1.0319460187824598,9.255642201401868e-4,-1114.9372418762691,0
destinationASHB,-0.8995986597614084,8.822538566356918e-4,-1019.6596512389957,0
destinationBALB,-0.21039805742085435,7.090884557445423e-4,-296.716235776165,0
destinationBAYF,-0.6281839339831528,8.042686897001086e-4,-781.0622768584795,0
destinationBERY,-1.131509692606356,9.606207719093202e-4,-1177.894259310444,0
destinationCAST,-1.3923444965387854,0.0010633568548003903,-1309.3859227532337,0
destinationCIVC,0.6205690730486134,5.882602308214935e-4,1054.922703481079,0
destinationCOLM,-1.1142721501434798,9.543940613629094e-4,-1167.5178998413492,0
destinationCOLS,-0.6041410867166256,7.980149803534374e-4,-757.054819257972,0
destinationCONC,-0.6548630223999031,8.113277331178801e-4,-807.1498060140343,0
destinationDALY,-0.02795799949937908,6.756380450044233e-4,-41.38014385971418,0
destinationDBRK,0.18083405103273756,6.425545160294392e-4,281.4298966415676,0
destinationDELN,-0.256261348874026,7.182212490496864e-4,-356.80001004300266,0
destinationDUBL,-0.4877205355754174,7.69138594881708e-4,-634.1126798485881,0
destinationEMBR,1.226892833491602,5.394803090220142e-4,2274.2124466335936,0
destinationFRMT,-0.8930962165049202,8.802190722773342e-4,-1014.6294764941525,0
destinationFTVL,-0.21999170533049173,7.109739305328135e-4,-309.42302647528436,0
destinationGLEN,-0.4292812787497985,7.554924207602127e-4,-568.2138787280421,0
destinationHAYW,-0.8024680085240551,8.527339883599913e-4,-941.0531531262058,0
destinationLAFY,-1.1420979257316304,9.64478794016541e-4,-1184.1607434160373,0
destinationLAKE,-0.4662656524403739,7.640643072401032e-4,-610.2439912742218,0
destinationMCAR,-0.26845400130412284,7.207003203344968e-4,-372.49047035184606,0
destinationMLBR,-0.8869056375566859,8.782897949875507e-4,-1009.8097946922603,0
destinationMLPT,-1.3436720339013954,0.0010429295073268148,-1288.3632349663103,0
destinationMONT,0.9947348887755241,5.552318450188409e-4,1791.5667080330547,0
destinationNBRK,-1.007886455126584,9.174170637380614e-4,-1098.613155307904,0
destinationNCON,-2.0768410627783935,0.0014215487737149909,-1460.9706688789163,0
destinationOAKL,-2.0488144047537613,0.001403983915143471,-1459.2862372959567,0
destinationORIN,-1.3942500395059996,0.001064168806290092,-1310.177512500707,0
destinationPCTR,-2.2539230886386012,0.0015390547029832484,-1464.4853651203414,0
destinationPHIL,-0.7328534598802026,8.327007412454936e-4,-880.0922391206874,0
destinationPITT,-0.8863698215783552,8.781231717120866e-4,-1009.3912222475465,0
destinationPLZA,-0.8435593753651236,8.64995427779932e-4,-975.2183055235038,0
destinationPOWL,0.8934604484657387,5.631634025016865e-4,1586.503037123516,0
destinationRICH,-0.7369697088494558,8.338598752219069e-4,-883.8052180569706,0
destinationROCK,-0.6358770466549577,8.06291235631046e-4,-788.6443738375585,0
destinationSANL,-0.4134337170608734,7.518864469135089e-4,-549.8619090130129,0
destinationSBRN,-1.1684667125213184,9.741976444335019e-4,-1199.4144301188333,0
destinationSFIA,-0.0900458032168577,6.865212576422877e-4,-131.16243993099502,0
destinationSHAY,-1.2698715201491515,0.001013079707931761,-1253.4764147449368,0
destinationSSAN,-1.2790383563210301,0.0010167150257011951,-1258.010675546886,0
destinationUCTY,-0.9832623327233045,9.092063683993952e-4,-1081.451216025115,0
destinationWARM,-1.4573880891316309,0.0010916016541299327,-1335.091499374147,0
destinationWCRK,-0.5629685025821266,7.875394253321795e-4,-714.8448502685054,0
destinationWDUB,-1.3541448956186664,0.0010472744789885274,-1293.018136875176,0
destinationWOAK,-0.3219231392676853,7.318307776059316e-4,-439.8874017307742,0
hour1,-1.6462047858489386,0.0047926445935595795,-343.48567971452144,0
hour2,-4.765785168073494,0.020967306151222307,-227.2960166509358,0
hour3,-6.6345405526763885,0.053184312821244514,-124.74619301701716,0
hour4,-6.01615344732543,0.039061255441683033,-154.018435385604,0
hour5,-3.6095786408074666,0.011869565742720904,-304.103681553899,0
hour6,-0.37731140104485583,0.00302098653614939,-124.89675029329476,0
hour7,0.4004296015014488,0.002489938424788641,160.81907789966306,0
hour8,0.7823151339282343,0.0023259882944006503,336.3366599098976,0
